LMGTP,#007,Heart of Racing,Aston Martin Valkyrie LMH,,97,98,,2,,27
LMGTP,#23,Heart of Racing,Aston Martin Valkyrie LMH,,97,97,,3,,27
LMGTP,#5,Porsche Penske Motorsport,Porsche 963,,99,98,,3,,27
LMGTP,#6,Porsche Penske Motorsport,Porsche 963,,99,100,,5,,29
LMGTP,#7,Toyota Gazoo Racing,Toyota GR010 Hybrid,,100,100,,5,,29
LMGTP,#8,Toyota Gazoo Racing,Toyota GR010 Hybrid,,100,99,,5,,30
LMGTP,#12,Hertz Team Jota Cadillac,Cadillac V-Series.R,,98,99,,4,,27
LMGTP,#38,Hertz Team Jota Cadillac,Cadillac V-Series.R,,98,97,,3,,29
LMGTP,#15,BMW M Team WRT,BMW M Hybrid V8,,98,97,,3,,28
LMGTP,#20,BMW M Team WRT,BMW M Hybrid V8,,98,98,,3,,27
LMGTP,#19,Lamborghini Iron Lynx,Lamborghini SC63,,97,97,,2,,28
LMGTP,#63,Lamborghini Iron Lynx,Lamborghini SC63,,97,98,,3,,29
LMGTP,#35,Alpine Endurance Team,Alpine A424,,98,97,,3,,27
LMGTP,#36,Alpine Endurance Team,Alpine A424,,98,97,,2,,27
LMGTP,#50,Ferrari AF Corse,Ferrari 499P,,99,99,,4,,28
LMGTP,#51,Ferrari AF Corse,Ferrari 499P,,99,98,,4,,26
LMGTP,#83,AF Corse,Ferrari 499P,,99,98,,4,,27
LMGTP,#93,Peugeot Total Energies,Peugeot 9X8 LMH,,96,97,,2,,27
LMGTP,#94,Peugeot Total Energies,Peugeot 9X8 LMH,,96,96,,3,,26
LMGTP,#99,Proton Competition,Porsche 963,,97,97,,3,,28
