GT3,#16,Winward Racing,Mercedes-AMG GT3 Evo,,100,87,,4,,27
GT3,#18,Winward Racing,Mercedes-AMG GT3 Evo,,100,89,,5,,30
GT3,#27,Optimum Motorsport,McLaren 720S GT3 Evo,,99,87,,4,,25
GT3,#77,Optimum Motorsport,McLaren 720S GT3 Evo,,99,88,,3,,30
GT3,#33,Manthey Racing,Porsche 911 GT3 R,,99,88,,5,,30
GT3,#92,Manthey EMA,Porsche 911 GT3 R,,99,88,,3,,25
GT3,#51,AF Corse,Ferrari 296 GT3,,97,90,,2,,30
GT3,#52,AF Corse,Ferrari 296 GT3,,97,87,,5,,27
GT3,#60,Proton Competition,Porsche 911 GT3 R,,97,90,,3,,26
GT3,#85,Iron Dames,Porsche 911 GT3 R,,97,87,,3,,28
GT3,#66,Triple Eight Race Engineering,Mercedes-AMG GT3 Evo,,97,89,,3,,30
GT3,#99,Triple Eight Race Engineering,Mercedes-AMG GT3 Evo,,97,90,,4,,26
GT3,#89,Earl Bamber Motorsport,Aston Martin Vantage AMR GT3 Evo,,100,89,,4,,27
